Nombre,Genero,Desarrollador,Clasificacion
The Legend of Zelda: Breath of the Wild,Action,EA,M
The Legend of Zelda: Tears of the Kingdom,Horror,Konami,M
Grand Theft Auto V,Accion,EA,M
Red Dead Redemption 2,Action,Microsoft,T
The Witcher 3: Wild Hunt,Adventure,Minecraft,M
Elden Ring,Accion,Minecraft,M
Dark Souls III,Action,Minecraft,T
Bloodborne,Adventure,Minecraft,E
God of War (2018),Action,EA,M
God of War Ragnarök,Puzzle,QWERTY Labs,T
The Last of Us Part I,Adventure,EA,M
The Last of Us Part II,Action,Microsoft,M
Uncharted 4: A Thief’s End,Action,EA,E
Marvel’s Spider-Man,Adventure,Valve,T
Batman: Arkham City,Action,EA,M
Super Mario Odyssey,Puzzle,X Labs,M
Super Mario Galaxy,Action,EA,T
Minecraft,Action,QWERTY Labs,M
Fortnite,Adventure,EA,M
Call of Duty: Modern Warfare II,Accion,Microsoft,T
Halo: Combat Evolved,Puzzle,Minecraft,M
Half-Life 2,Adventure,Valve,E
Portal 2,Action,EA,T
Mass Effect 2,Action,X Labs,T
Skyrim,Adventure,EA,M
Cyberpunk 2077,Action,QWERTY Labs,M
Horizon Zero Dawn,Action,Konami,T
Ghost of Tsushima,Action,EA,E
Resident Evil 4,Adventure,Microsoft,M
Final Fantasy VII Remake,Action,EA,T
