Stack Position,ID,Make,Model,Year,Timestamp When Added
1,E90D862C,Toyota,Corolla,2017,2026-08-09 11:12:17
2,EF5B1010,Cadillac,XT5,2025,2026-08-09 11:47:48
3,544DC5AA,Acura,MDX,2024,2026-08-09 11:38:14
4,1FE853F2,GMC,Terrain,2025,2026-08-09 11:22:47
5,6AC7BE8A,Tesla,Model Y,2024,2026-08-09 11:15:27
6,17CE6DA7,Volvo,XC60,2025,2026-08-09 10:52:14
7,A6612886,Jeep,Grand Cherokee,2024,2026-08-09 10:40:08
8,870570E5,Subaru,Outback,2025,2026-08-09 10:23:16
9,1A0B1DF3,Mazda,CX-5,2024,2026-08-09 10:12:31
10,736D49E8,Lexus,RX 350,2025,2026-08-09 09:52:53
11,B07C0DB8,Audi,Q5,2024,2026-08-09 09:48:22
12,D207B2AA,Mercedes-Benz,GLC 300,2025,2026-08-09 09:30:58
13,3AA363A6,BMW,X3,2024,2026-08-09 09:17:41
14,A21FC386,Volkswagen,Tiguan,2025,2026-08-09 09:09:31
15,4E16331C,Kia,Sportage,2024,2026-08-09 08:48:28
16,C052A96A,Hyundai,Tucson,2025,2026-08-09 08:41:39
17,0CFA0278,Nissan,Rogue,2024,2026-08-09 08:26:57
18,EEC7056E,Chevrolet,Equinox,2025,2026-08-09 08:17:22
19,D338765E,Ford,F-150,2024,2026-08-09 07:58:54
20,7C2F7C06,Honda,Civic,2025,2026-08-09 07:53:33
21,80635561,Toyota,Camry,2024,2026-08-09 07:42:19
